exp_id,name,side_unsafe,roc_auc_unsafe,recall_unsafe,f1_unsafe,accuracy_unsafe,avg_precision_unsafe,features_unsafe,fit_seconds_unsafe,status_unsafe,side_safe,roc_auc_safe,recall_safe,f1_safe,accuracy_safe,avg_precision_safe,features_safe,fit_seconds_safe,status_safe,delta_roc_auc,delta_recall,delta_f1,delta_accuracy
01,baseline_current,unsafe,0.9730429490183826,0.8930635838150289,0.911504424778761,0.918991899189919,0.9721531648134785,13,0.687,ok,safe,0.938609038952247,0.802504816955684,0.8469750889679716,0.8645364536453646,0.9408737056943642,11,0.647,ok,-0.03443391006613561,-0.09055876685934494,-0.06452933581078946,-0.05445544554455439
02,lightgbm_strong_baseline,unsafe,0.9720380604593032,0.8805394990366089,0.904950495049505,0.9135913591359136,0.9722710409699898,12,3.04,ok,safe,0.9364869746914544,0.8034682080924855,0.8488549618320611,0.8663366336633663,0.9401044130075771,10,2.892,ok,-0.03555108576784882,-0.07707129094412335,-0.05609553321744387,-0.047254725472547277
03,fare_pricing_features,unsafe,0.9766971632036661,0.8998073217726397,0.9188391539596655,0.9257425742574258,0.9758976021741563,21,2.866,ok,safe,0.9358254569598501,0.7947976878612717,0.8405501782985226,0.8591359135913591,0.9397138079841691,12,2.444,ok,-0.040871706243815975,-0.10500963391136797,-0.0782889756611429,-0.06660666066606669
04,time_cyclical_features,unsafe,0.974036446128209,0.8978805394990366,0.9204938271604939,0.9275427542754275,0.9728322765328882,20,3.194,ok,safe,0.9418865216372441,0.815028901734104,0.8610687022900764,0.8771377137713772,0.9445413741943116,18,3.044,ok,-0.03214992449096499,-0.08285163776493254,-0.05942512487041751,-0.05040504050405037
05,geo_distance_bearing,unsafe,0.968180427537364,0.8795761078998073,0.903960396039604,0.9126912691269127,0.9682436321030078,17,2.623,ok,safe,0.9352778537207728,0.791907514450867,0.8379204892966361,0.8568856885688569,0.9387731207598095,15,2.596,ok,-0.03290257381659123,-0.08766859344894029,-0.06603990674296789,-0.055805580558055734
06,interactions_bins,unsafe,0.9777826055824612,0.9084778420038536,0.9281496062992126,0.9342934293429342,0.977185223011366,38,4.385,ok,safe,0.9388686012602196,0.7986512524084779,0.8454869964303927,0.8636363636363636,0.9433224907241387,29,3.761,ok,-0.03891400432224157,-0.10982658959537572,-0.0826626098688199,-0.0706570657065706
07,feature_selection,unsafe,0.9688631008175805,0.8786127167630058,0.9056603773584906,0.9144914491449145,0.9668687606043606,34,3.69,ok,safe,0.9386936611466958,0.8063583815028902,0.8501777552056882,0.8672367236723673,0.9412292989064894,25,3.303,ok,-0.0301694396708847,-0.0722543352601156,-0.05548262215280242,-0.047254725472547277
08,xgboost_tuned,unsafe,0.9788086496901525,0.9104046242774566,0.9278350515463918,0.9338433843384338,0.9777144177940837,34,19.771,ok,safe,0.9418889626620841,0.7755298651252408,0.8438155136268344,0.8658865886588659,0.9436047863821014,25,15.198,ok,-0.03691968702806836,-0.1348747591522158,-0.08401953791955741,-0.06795679567956792
09,lightgbm_tuned,unsafe,0.9792561709107952,0.9113680154142582,0.9283611383709519,0.9342934293429342,0.9773223078697622,34,194.903,ok,safe,0.9450037103577568,0.7707129094412332,0.8461131676361714,0.869036903690369,0.9487270589112673,25,175.598,ok,-0.03425246055303843,-0.140655105973025,-0.08224797073478052,-0.06525652565256523
10,histgb_sklearn,unsafe,0.9775555902723533,0.9123314065510597,0.9316281357599606,0.9374437443744374,0.9771695028171251,34,4.083,ok,safe,0.9390272678748113,0.8131021194605009,0.8538189175518462,0.8699369936993699,0.9435290098131979,25,3.533,ok,-0.038528322397542,-0.09922928709055878,-0.07780921820811437,-0.0675067506750675
11,tabpfn,unsafe,,,,,,34,,skipped_license,safe,,,,,,0,,skipped_license,,,,
12,threshold_calibration,unsafe,0.9779502226214654,0.8815028901734104,0.920523138832998,0.9288928892889289,0.9776138932567321,34,13.266,ok,safe,0.9385821876790086,0.7658959537572254,0.841715193223928,0.8654365436543654,0.9425740391493023,25,11.996,ok,-0.039368034942456775,-0.11560693641618502,-0.07880794560907001,-0.06345634563456348
13,stacking_ensemble,unsafe,0.9737256222985992,0.9142581888246628,0.9299363057324841,0.9356435643564357,0.9715154061672682,34,19.909,ok,safe,0.9367497916992136,0.8053949903660886,0.8491620111731844,0.8663366336633663,0.9384745939216415,25,16.028,ok,-0.036975830599385584,-0.10886319845857417,-0.08077429455929974,-0.06930693069306937
14,leakage_safe_features,unsafe,0.9386554184242045,0.802504816955684,0.8482688391038696,0.8658865886588659,0.9417720835326946,25,4.219,ok,safe,0.9386554184242045,0.802504816955684,0.8482688391038696,0.8658865886588659,0.9417720835326946,25,4.046,ok,0.0,0.0,0.0,0.0
15,full_fe_best_blend,unsafe,0.9780983114617507,0.9113680154142582,0.9288168875797742,0.9347434743474348,0.9774571604428918,34,9.017,ok,safe,0.9384202663646305,0.8053949903660886,0.8500254194204372,0.8672367236723673,0.9419629460141081,25,8.34,ok,-0.03967804509712025,-0.10597302504816952,-0.07879146815933702,-0.0675067506750675
