feature,importance
cat__Contract_Month-to-month,0.12754933976586463
num__tenure,0.12286979174784035
num__TotalCharges,0.10312114715729542
num__MonthlyCharges,0.07069505859481463
cat__OnlineSecurity_No,0.05751022048794688
cat__Contract_Two year,0.05523423254435047
cat__TechSupport_No,0.048880570955318545
cat__InternetService_Fiber optic,0.04399253660059491
cat__PaymentMethod_Electronic check,0.03427233346419839
cat__Contract_One year,0.020964198795373284
cat__OnlineBackup_No,0.01949228615242442
cat__InternetService_DSL,0.01648029156525721
cat__OnlineSecurity_Yes,0.015834768630005835
cat__PaperlessBilling_No,0.01322372094865046
cat__DeviceProtection_No,0.012900678704729078
cat__TechSupport_Yes,0.012071888557117874
cat__PaperlessBilling_Yes,0.011533456568962869
cat__OnlineSecurity_No internet service,0.010539016225867306
cat__InternetService_No,0.010205936016677486
cat__gender_Female,0.00982987660783291
cat__gender_Male,0.009794226177994724
cat__StreamingTV_No internet service,0.009624149974665203
cat__DeviceProtection_No internet service,0.008830166860852404
cat__OnlineBackup_Yes,0.0087349354980795
cat__Partner_No,0.008703406722384247
cat__StreamingMovies_No internet service,0.00856382806558418
cat__MultipleLines_Yes,0.008390757115851627
cat__PaymentMethod_Bank transfer (automatic),0.008104742795325432
cat__PaymentMethod_Credit card (automatic),0.008102776420755988
cat__Dependents_No,0.008010295292451513
cat__Partner_Yes,0.007969490575117463
cat__StreamingMovies_Yes,0.007869261883966942
cat__StreamingMovies_No,0.007611545068172247
cat__MultipleLines_No,0.007609358704853489
cat__OnlineBackup_No internet service,0.007569891613520096
cat__Dependents_Yes,0.007454095215528417
cat__StreamingTV_Yes,0.007124180625261098
cat__DeviceProtection_Yes,0.0068577554205368416
cat__TechSupport_No internet service,0.006460022337358174
cat__StreamingTV_No,0.006454465491831386
cat__PaymentMethod_Mailed check,0.005780018840616581
cat__SeniorCitizen_0,0.004949575169820191
cat__SeniorCitizen_1,0.004899427510932157
cat__MultipleLines_No phone service,0.002470582563803834
cat__PhoneService_Yes,0.0024389683302227833
cat__PhoneService_No,0.0024207256333905235
