feature,importance
cat__Contract_Month-to-month,0.37449485
cat__OnlineSecurity_No,0.08096791
cat__InternetService_Fiber optic,0.060122855
cat__Contract_Two year,0.045245487
cat__Contract_One year,0.035171155
cat__TechSupport_No,0.029985724
cat__InternetService_No,0.02894778
cat__InternetService_DSL,0.02754238
cat__OnlineSecurity_No internet service,0.026968969
num__tenure,0.018699676
cat__StreamingMovies_Yes,0.018510785
cat__PhoneService_Yes,0.01581347
cat__PaymentMethod_Electronic check,0.015797935
cat__OnlineBackup_No,0.014547054
cat__PaperlessBilling_Yes,0.013500634
cat__PaperlessBilling_No,0.0126829855
cat__OnlineSecurity_Yes,0.012342294
num__MonthlyCharges,0.012137423
num__TotalCharges,0.010443995
cat__StreamingMovies_No,0.010349648
cat__StreamingTV_No,0.010225307
cat__Dependents_Yes,0.0100195985
cat__Dependents_No,0.009496359
cat__MultipleLines_Yes,0.009418051
cat__MultipleLines_No,0.009273493
cat__SeniorCitizen_0,0.008467506
cat__PaymentMethod_Mailed check,0.008443233
cat__PaymentMethod_Credit card (automatic),0.007207554
cat__gender_Female,0.0069843954
cat__PaymentMethod_Bank transfer (automatic),0.0066611897
cat__PhoneService_No,0.006648745
cat__StreamingTV_Yes,0.006347945
cat__DeviceProtection_No,0.006240362
cat__OnlineBackup_Yes,0.0059186006
cat__SeniorCitizen_1,0.0057518454
cat__TechSupport_Yes,0.0057374015
cat__gender_Male,0.0049142954
cat__Partner_No,0.004591913
cat__DeviceProtection_Yes,0.0033791626
cat__MultipleLines_No phone service,0.0
cat__Partner_Yes,0.0
cat__DeviceProtection_No internet service,0.0
cat__StreamingMovies_No internet service,0.0
cat__StreamingTV_No internet service,0.0
cat__TechSupport_No internet service,0.0
cat__OnlineBackup_No internet service,0.0
